name,genre,rating
Naruto,Action,7.99
One Piece,Action,8.69
Death Note,Thriller,8.62
Attack on Titan,Action,9.10
Demon Slayer,Action,8.45
Your Name,Romance,8.84
Weathering With You,Romance,8.27
Tokyo Ghoul,Horror,7.79
Bleach,Action,7.96
Spy x Family,Comedy,8.50
Dragon Ball Z,Action,8.15
Jujutsu Kaisen,Action,8.58
Chainsaw Man,Horror,8.48
Haikyuu,Sports,8.44
Blue Lock,Sports,8.30
Cowboy Bebop,Action,8.75
Trigun,Adventure,8.22
Monster,Thriller,8.87
Neon Genesis Evangelion,Sci-Fi,8.35
Berserk,Horror,8.56
Ghost in the Shell,Sci-Fi,8.27
Rurouni Kenshin,Adventure,8.29
Akira,Sci-Fi,8.16
Full Metal Panic,Comedy,7.61
Fruits Basket,Romance,7.69
Black Cat,Adventure,7.33
Basilisk,Action,7.55
Initial D,Sports,8.16
Blue Gender,Horror,7.03
Chobits,Romance,7.40
Chrono Crusade,Action,7.62
Rozen Maiden,Drama,7.41
Gundam Wing,Sci-Fi,7.69
Last Exile,Adventure,7.79
Air,Romance,7.28
Beck,Music,8.29
Cromartie High School,Comedy,7.90
Samurai X,Action,8.71
The Prince of Tennis,Sports,7.86
Eyeshield 21,Sports,7.92
Honey and Clover,Romance,8.00
School Rumble,Comedy,7.89
Texhnolyze,Sci-Fi,7.76
Yakitate Japan,Comedy,7.91
Azumanga Daioh,Comedy,7.99
Shuffle,Romance,7.03
Gakuen Alice,Fantasy,7.64
Fafner,Sci-Fi,7.26
Magical Girl Lyrical Nanoha,Fantasy,7.41
Burst Angel,Adventure,6.79
